Date,Day,Rm,Topic,Do Before Class,In-Class Exercise
27-Aug,Tues,270,Intro,N/A,
29-Aug,Thurs,CC,Command Line Basics,"- `Command Line Basics <command_line_part1.ipynb>`_
- Read and sign syllabus
- `Register with IPUMS <https://uma.pop.umn.edu/usa/user/new>`_
- `Register for DataCamp <https://www.datacamp.com/home>`_",`Link <exercises/Exercise_CommandLine_1_Basics.ipynb>`_
3-Sep,Tues,270,"- Advanced Command Line
- Jupyter Lab / Notebooks","- `Advanced Command Line <command_line_part2.ipynb>`_
- `Setup Python <setup_environment.ipynb>`_
- `Jupyter Tutorial <jupyter.ipynb>`_
","`Link <exercises/Exercise_CommandLine_2_Advanced.ipynb>`_
`Link 2 <exercises/Exercise_jupyterlab.ipynb>`_"
5-Sep,Thurs,270,"- Ipython
- Packages
- Python v. R / variables as pointers","- `Follow this link <https://gke.mybinder.org/v2/gh/ipython/ipython-in-depth/master?filepath=binder/Index.ipynb>`_ , then click ""Ipython - Beyond plain python"" and read that notebook. 
- `Python packages <managing_python_packages.ipynb>`_
- `variables v objects <vars_v_objects.ipynb>`_",`Link <exercises/Exercise_variables_v_objects.ipynb>`_
10-Sep,Tues,330,Numpy Basics,"- JVP pp 33-77
- IF did not complete DataCamp: Do Numpy Section
- `Numbers in Computer <ints_and_floats.ipynb>`_",`Link <exercises/Exercise_numpy.ipynb>`_
12-Sep,Thurs,270,Pandas: Series,- `Pandas 1: Series <pandas_series.ipynb>`_,`Link <exercises/Exercise_series.ipynb>`_
17-Sep,Tues,CC,Pandas: DataFrames,- `Pandas 2: DataFrames <pandas_dataframes.ipynb>`_,`Link <exercises/Exercise_dataframe.ipynb>`_
19-Sep,Thurs,CC,Intro to Plotting with PlotNine,"- `Plotting in Python, Part 1 <plotting_part1.ipynb>`_",`Link <exercises/Exercise_plotting_part1.ipynb>`_
24-Sep,Tues,330,Advanced Plotting,"- `Plotting in Python, Part 2 <plotting_part2.ipynb>`_",`Link <exercises/Exercise_plotting_part2.ipynb>`_
26-Sep,Thurs,270,Pandas: Indices & Missing,"- WM pp 136-142
- JVP pp 115-139
- `Views and Copies in Pandas <views_and_copies_in_pandas.ipynb>`_","`Link <exercises/Exercise_missing.ipynb>`_
`Link <exercises/Exercise_indices.ipynb>`_"
1-Oct,Tues,270,"- Pandas: Loading and saving data
- Pandas: Cleaning","- WM Chapter 6
- WM Chapter 7
- `Python Strings <https://realpython.com/python-data-types/#strings>`_",`Link <exercises/Exercise_cleaning.ipynb>`_
3-Oct,Thurs,330,- Pandas: Merging,- JVP pp 149 - 157,`Link <exercises/Exercise_merging.ipynb>`_
8-Oct,Tues,270,Pandas: Reshaping,"- WM 8.3
- `Pandas reshaping (with pics!) <https://pandas.pydata.org/pandas-docs/stable/user_guide/reshaping.html>`_",
10-Oct,Thurs,330,FALL BREAK,,
15-Oct,Tues,270,Groupby / Split-Apply-Combine,- WM Chapter 10,
17-Oct,Thurs,330,Collaborating using Github,- `Git and Github <git_and_github.ipynb>`_,
22-Oct,Tues,330,Defensive Programming,"- `Defensive Programming <defensive_programming.ipynb>`_
- `Workflow Management <workflow.ipynb>`_",
24-Oct,Thurs,330,Getting Help Online,- `Getting Help <getting_help.ipynb>`_,
29-Oct,Tues,270,Pandas: Categorical Data; Eval and Query,"- WM 12.1
- JVP pp 208 - 213",
31-Oct,Thurs,330,Statistics with statsmodels,- WM Chapter 13,
5-Nov,Tues,270,Machine Learning with sckikit-learn,- JVP pp 331 - 359,
7-Nov,Thurs,330,"Big Data: What is it, how do I work with it?",,
12-Nov,Tues,330,Plaintext Manipulation,,
14-Nov,Thurs,330,Data Science: Questions,,
19-Nov,Tues,270,Data Science: Backwards Design,,
21-Nov,Thurs,330,Data Science: Tool Selection,,
26-Nov,Tues,270,Project Proposal Workshopping,,
28-Nov,Thurs,,THANKSGIVING BREAK,,